block,trial,target,response,correct,rt
0,l,-,-,True,1.620206356048584
0,f,-,-,True,0.6121292114257812
0,n,-,-,True,0.6311824321746826
0,y,-,-,True,0.6748745441436768
0,n,m,m,True,0.5756185054779053
0,z,-,-,True,0.5537042617797852
0,z,-,m,False,0.5058505535125732
0,w,-,-,True,0.6170895099639893
0,x,-,-,True,0.9498541355133057
0,n,-,-,True,0.4762897491455078
0,y,-,-,True,0.7966063022613525
0,t,-,-,True,0.5680222511291504
0,y,m,-,False,0.9837164878845215
0,t,m,m,True,1.009101152420044
0,v,-,-,True,0.8129792213439941
0,v,-,m,False,0.6182882785797119
0,v,m,-,False,0.523655891418457
0,v,m,m,True,0.5259354114532471
0,c,-,-,True,0.6267731189727783
0,n,-,m,False,0.7601189613342285
0,j,-,-,True,0.4418621063232422
0,n,m,-,False,0.510749101638794
0,j,m,-,False,0.7559130191802979
0,n,m,m,True,0.6641695499420166
1,s,-,-,True,0.569087028503418
1,r,-,-,True,0.4245731830596924
1,g,-,-,True,0.48096227645874023
1,r,m,-,False,0.4867725372314453
1,w,-,-,True,0.5782301425933838
1,r,m,m,True,0.5945010185241699
1,j,-,-,True,0.6178476810455322
1,w,-,-,True,0.482088565826416
1,d,-,-,True,0.5845623016357422
1,f,-,-,True,0.6662502288818359
1,j,-,-,True,0.5421910285949707
1,f,m,-,False,1.079969882965088
1,j,m,-,False,0.5772247314453125
1,f,m,-,False,0.49691271781921387
1,q,-,-,True,0.582714319229126
1,g,-,-,True,0.5151956081390381
1,q,m,-,False,0.4789607524871826
1,z,-,-,True,0.6124377250671387
1,q,m,m,True,0.489609956741333
1,v,-,-,True,0.5194833278656006
1,y,-,-,True,0.4905431270599365
1,f,-,-,True,0.4878072738647461
1,y,m,-,False,0.8314857482910156
1,q,-,m,False,0.6555993556976318
2,w,-,-,True,1.03619384765625
2,v,-,-,True,0.5273599624633789
2,j,-,-,True,0.7582933902740479
2,v,m,-,False,0.4544949531555176
2,j,m,-,False,0.4515807628631592
2,t,-,-,True,0.6732573509216309
2,j,m,m,True,0.45479297637939453
2,s,-,-,True,0.9774627685546875
2,w,-,-,True,0.5818240642547607
2,s,m,-,False,0.5398280620574951
2,k,-,-,True,0.7427654266357422
2,s,m,m,True,0.5843830108642578
2,k,m,-,False,0.5564582347869873
2,p,-,-,True,0.539109468460083
2,x,-,-,True,0.49441051483154297
2,p,m,-,False,1.4841973781585693
2,q,-,-,True,0.612778902053833
2,c,-,-,True,0.628608226776123
2,l,-,-,True,0.46933531761169434
2,w,-,-,True,0.6081984043121338
2,q,-,-,True,0.8409914970397949
2,c,-,-,True,0.9781591892242432
2,q,m,m,True,0.4593658447265625
2,l,-,-,True,0.5265755653381348
3,f,-,-,True,0.970527172088623
3,k,-,-,True,0.4572610855102539
3,r,-,-,True,0.9543962478637695
3,q,-,-,True,0.467571496963501
3,g,-,-,True,0.6053855419158936
3,x,-,-,True,0.4537231922149658
3,c,-,-,True,0.9328536987304688
3,x,m,-,False,0.4747648239135742
3,c,m,m,True,0.9829425811767578
3,j,-,-,True,0.485736608505249
3,c,m,-,False,0.5341241359710693
3,j,m,-,False,0.5413024425506592
3,r,-,-,True,0.6880362033843994
3,v,-,-,True,0.4512641429901123
3,b,-,-,True,0.5728590488433838
3,v,m,-,False,0.5855958461761475
3,b,m,m,True,1.4359862804412842
3,y,-,-,True,0.4588778018951416
3,g,-,-,True,0.5585272312164307
3,y,m,-,False,0.4876563549041748
3,r,-,-,True,0.7175734043121338
3,y,m,-,False,0.500281810760498
3,c,-,-,True,0.45882439613342285
3,n,-,-,True,0.48217177391052246
4,c,-,-,True,1.0348167419433594
4,p,-,-,True,0.6435689926147461
4,c,m,-,False,1.448267936706543
4,s,-,-,True,0.5150027275085449
4,y,-,-,True,0.6056482791900635
4,k,-,-,True,0.48024940490722656
4,g,-,-,True,0.44634366035461426
4,k,m,-,False,0.4636657238006592
4,g,m,m,True,0.624993085861206
4,k,m,-,False,0.48938751220703125
4,k,-,-,True,0.6999828815460205
4,y,-,-,True,0.4812047481536865
4,k,m,-,False,0.9876115322113037
4,y,m,-,False,0.5031101703643799
4,b,-,-,True,1.5254194736480713
4,q,-,-,True,0.6072657108306885
4,w,-,-,True,0.4519052505493164
4,n,-,-,True,0.5343635082244873
4,x,-,-,True,0.62528395652771
4,r,-,-,True,0.7663683891296387
4,x,m,-,False,0.6054036617279053
4,h,-,-,True,0.45983266830444336
4,t,-,-,True,0.5394554138183594
4,h,m,-,False,0.6100804805755615
5,w,-,-,True,1.260160207748413
