block,trial_index,stimulus,target,response,correct,rt
0,23,t,-,-,True,2.043426990509033
0,23,r,-,-,True,0.5705118179321289
0,23,j,-,-,True,0.5904567241668701
0,23,g,-,-,True,0.7020242214202881
0,23,r,m,-,False,1.0753560066223145
0,23,k,-,-,True,0.8156538009643555
0,23,y,-,-,True,0.46384668350219727
0,23,q,-,-,True,0.6072287559509277
0,23,k,m,-,False,1.439399003982544
0,23,y,m,-,False,0.5693728923797607
0,23,y,-,m,False,0.4776017665863037
0,23,p,-,-,True,0.4977705478668213
0,23,r,-,-,True,0.4799537658691406
0,23,y,m,-,False,0.5145761966705322
0,23,p,m,-,False,0.7918059825897217
0,23,w,-,-,True,0.6628577709197998
0,23,v,-,-,True,0.9283852577209473
0,23,x,-,-,True,0.5548326969146729
0,23,w,m,-,False,0.5874571800231934
0,23,y,-,-,True,0.5461959838867188
0,23,l,-,-,True,1.0034093856811523
0,23,k,-,-,True,1.0325627326965332
0,23,y,m,-,False,0.7479503154754639
0,23,l,m,-,False,0.7151405811309814
1,23,w,-,-,True,0.8473320007324219
1,23,p,-,-,True,1.4604640007019043
1,23,z,-,-,True,1.1128506660461426
1,23,v,-,-,True,0.6481063365936279
1,23,l,-,-,True,0.6382067203521729
1,23,l,-,-,True,0.5919907093048096
1,23,v,m,-,False,0.4742403030395508
1,23,f,-,-,True,0.4494328498840332
1,23,l,m,m,True,0.49228906631469727
1,23,f,-,-,True,0.5038506984710693
1,23,f,m,-,False,0.624457597732544
1,23,x,-,-,True,0.6220712661743164
1,23,f,m,-,False,0.5790181159973145
1,23,c,-,-,True,0.5489835739135742
1,23,s,-,-,True,0.6594078540802002
1,23,f,m,-,False,0.42749714851379395
1,23,x,-,-,True,0.44710516929626465
1,23,v,-,-,True,0.6621725559234619
1,23,f,m,-,False,1.522618055343628
1,23,d,-,-,True,0.6246752738952637
1,23,n,-,-,True,0.9888575077056885
1,23,f,m,-,False,0.644615650177002
1,23,x,-,-,True,0.5407729148864746
1,23,n,m,-,False,0.5376696586608887
2,23,r,-,-,True,0.5402874946594238
2,23,y,-,-,True,0.7429895401000977
2,23,n,-,-,True,0.4988105297088623
2,23,r,m,-,False,0.49631667137145996
2,23,w,-,-,True,0.7844274044036865
2,23,n,m,-,False,1.4686884880065918
2,23,r,m,-,False,0.48236083984375
2,23,w,m,-,False,0.6271677017211914
2,23,b,-,-,True,1.0574469566345215
2,23,p,-,-,True,0.5033876895904541
2,23,z,-,-,True,0.4960324764251709
2,23,t,-,-,True,0.5200939178466797
2,23,p,m,-,False,0.4944181442260742
2,23,h,-,-,True,0.5923135280609131
2,23,z,-,-,True,0.6154215335845947
2,23,g,-,-,True,0.7241032123565674
2,23,p,-,-,True,0.6455793380737305
2,23,z,m,-,False,0.6046972274780273
2,23,w,-,-,True,0.8159294128417969
2,23,p,m,-,False,0.6251802444458008
2,23,j,-,-,True,0.5191068649291992
2,23,k,-,-,True,0.5140242576599121
2,23,f,-,-,True,0.5143947601318359
2,23,j,m,-,False,1.5754978656768799
3,23,p,-,-,True,0.45960402488708496
3,23,j,-,-,True,1.2634797096252441
3,23,t,-,-,True,0.5618700981140137
3,23,p,m,-,False,0.5412406921386719
3,23,z,-,-,True,0.48472142219543457
3,23,t,m,-,False,0.5880851745605469
3,23,p,m,-,False,0.9793739318847656
3,23,f,-,-,True,0.5112404823303223
3,23,h,-,-,True,1.080533742904663
3,23,x,-,-,True,1.0232179164886475
3,23,f,m,-,False,0.9313256740570068
3,23,p,-,-,True,0.9758853912353516
3,23,z,-,-,True,0.48214292526245117
3,23,h,-,-,True,0.6820967197418213
3,23,w,-,-,True,0.4893960952758789
3,23,z,m,-,False,0.6107895374298096
3,23,x,-,-,True,0.9590070247650146
3,23,y,-,-,True,0.5986950397491455
3,23,v,-,-,True,0.5398674011230469
3,23,x,m,-,False,0.5314979553222656
3,23,y,m,-,False,0.7390260696411133
3,23,c,-,-,True,0.6239309310913086
3,23,x,m,-,False,0.5253763198852539
3,23,c,-,-,True,0.4898524284362793
4,23,d,-,-,True,0.9773540496826172
4,23,x,-,-,True,0.4458646774291992
4,23,f,-,-,True,0.9115760326385498
4,23,d,m,-,False,0.43525147438049316
4,23,r,-,-,True,0.46527934074401855
4,23,q,-,-,True,0.5085306167602539
4,23,p,-,-,True,0.6105222702026367
