block,trial,target,response,correct,rt
0,l,-,-,True,0.9935944080352783
0,f,-,-,True,0.5962705612182617
0,n,-,-,True,0.4868929386138916
0,y,-,-,True,0.5348248481750488
0,n,m,-,False,0.9535520076751709
0,z,-,-,True,0.5359518527984619
0,z,-,m,False,0.5292603969573975
0,w,-,-,True,0.4841277599334717
0,x,-,-,True,0.6313021183013916
0,n,-,-,True,0.5497279167175293
0,y,-,-,True,0.5230221748352051
0,t,-,-,True,0.5299854278564453
0,y,m,-,False,0.5080440044403076
0,t,m,-,False,0.4714391231536865
0,v,-,-,True,0.5075168609619141
0,v,-,m,False,0.7526681423187256
0,v,m,-,False,0.6227188110351562
0,v,m,m,True,0.541287899017334
0,c,-,-,True,0.6808497905731201
0,n,-,-,True,1.6009705066680908
0,j,-,-,True,0.6410090923309326
0,n,m,-,False,0.8584702014923096
0,j,m,-,False,0.5378291606903076
0,n,m,-,False,1.059187650680542
1,s,-,-,True,0.5242164134979248
1,r,-,-,True,0.49807047843933105
1,g,-,-,True,0.4771690368652344
1,r,m,-,False,0.5369176864624023
1,w,-,-,True,0.5123138427734375
1,r,m,m,True,0.5167291164398193
1,j,-,-,True,0.5218312740325928
1,w,-,-,True,0.6045639514923096
1,d,-,-,True,0.46419358253479004
1,f,-,-,True,0.6056575775146484
1,j,-,-,True,1.0256147384643555
1,f,m,-,False,0.7950084209442139
1,j,m,-,False,0.5347132682800293
1,f,m,-,False,1.2118842601776123
1,q,-,-,True,0.5740690231323242
1,g,-,-,True,0.510016918182373
1,q,m,-,False,0.7770416736602783
1,z,-,-,True,1.5207853317260742
1,q,m,-,False,0.5552027225494385
1,v,-,-,True,0.5436062812805176
1,y,-,-,True,0.5383155345916748
1,f,-,-,True,0.5412099361419678
1,y,m,-,False,0.5637269020080566
1,q,-,-,True,0.658219575881958
2,w,-,-,True,0.5050601959228516
2,v,-,-,True,0.6160061359405518
2,j,-,-,True,0.4848134517669678
2,v,m,-,False,0.6218264102935791
2,j,m,-,False,0.5321264266967773
2,t,-,-,True,0.5391392707824707
2,j,m,-,False,0.6138949394226074
2,s,-,-,True,1.5096113681793213
2,w,-,-,True,1.0592751502990723
2,s,m,-,False,0.538668155670166
2,k,-,-,True,0.5431919097900391
2,s,m,m,True,0.7040646076202393
2,k,m,-,False,0.5115582942962646
2,p,-,-,True,0.5271091461181641
