block,trial_index,stimulus,target,response,correct,rt
0,23,t,-,-,True,1.166008472442627
0,23,r,-,-,True,0.486236572265625
0,23,j,-,-,True,1.542480707168579
0,23,g,-,-,True,1.016340732574463
0,23,r,m,-,False,0.4852910041809082
0,23,k,-,-,True,0.9734687805175781
0,23,y,-,-,True,0.5370714664459229
0,23,q,-,-,True,0.5045979022979736
0,23,k,m,-,False,0.45775794982910156
0,23,y,m,-,False,0.5007898807525635
0,23,y,-,m,False,0.7549858093261719
0,23,p,-,-,True,0.4650418758392334
0,23,r,-,-,True,0.521730899810791
0,23,y,m,-,False,0.8926572799682617
0,23,p,m,-,False,0.5278942584991455
0,23,w,-,-,True,0.9931178092956543
0,23,v,-,-,True,1.0408430099487305
0,23,x,-,-,True,0.5162312984466553
0,23,w,m,-,False,1.0055642127990723
0,23,y,-,-,True,0.6181278228759766
0,23,l,-,-,True,0.6028656959533691
0,23,k,-,-,True,0.5907976627349854
0,23,y,m,-,False,0.5415511131286621
0,23,l,m,-,False,0.6357748508453369
1,23,w,-,-,True,1.055969476699829
1,23,p,-,-,True,0.6103646755218506
1,23,z,-,-,True,0.6894042491912842
1,23,v,-,-,True,0.9139983654022217
1,23,l,-,-,True,0.9427375793457031
1,23,l,-,m,False,0.4945507049560547
1,23,v,m,-,False,0.43567991256713867
1,23,f,-,-,True,0.5441811084747314
1,23,l,m,-,False,1.0484778881072998
1,23,f,-,-,True,0.5759179592132568
1,23,f,m,-,False,0.5394330024719238
1,23,x,-,-,True,0.6102261543273926
1,23,f,m,-,False,0.5047659873962402
1,23,c,-,-,True,0.5027320384979248
1,23,s,-,-,True,0.62062668800354
1,23,f,m,-,False,0.6006433963775635
1,23,x,-,-,True,0.6185207366943359
1,23,v,-,m,False,0.743964672088623
1,23,f,m,-,False,0.4820401668548584
1,23,d,-,-,True,1.0502419471740723
1,23,n,-,-,True,0.6248691082000732
1,23,f,m,-,False,0.5134687423706055
1,23,x,-,m,False,0.5367894172668457
1,23,n,m,-,False,0.5347297191619873
2,23,r,-,-,True,0.9180054664611816
2,23,y,-,-,True,0.500852108001709
2,23,n,-,-,True,0.4907417297363281
2,23,r,m,-,False,0.9710342884063721
2,23,w,-,-,True,0.5831928253173828
2,23,n,m,-,False,0.588956356048584
2,23,r,m,m,True,0.5045716762542725
2,23,w,m,-,False,0.489673376083374
2,23,b,-,-,True,0.5244266986846924
2,23,p,-,-,True,1.0037813186645508
2,23,z,-,-,True,0.6497666835784912
2,23,t,-,-,True,0.5148460865020752
2,23,p,m,-,False,0.7013199329376221
2,23,h,-,-,True,0.5154790878295898
2,23,z,-,m,False,0.6077413558959961
2,23,g,-,-,True,0.551102876663208
2,23,p,-,-,True,0.5064218044281006
2,23,z,m,-,False,0.49278807640075684
2,23,w,-,-,True,0.6716749668121338
2,23,p,m,m,True,0.5692591667175293
2,23,j,-,-,True,0.5163040161132812
2,23,k,-,-,True,0.5184142589569092
2,23,f,-,-,True,0.5176351070404053
2,23,j,m,-,False,0.5290005207061768
3,23,p,-,-,True,1.2015299797058105
3,23,j,-,-,True,0.5279219150543213
